employee_id,first_name,last_name,email,Sex,Marital_Status,Salary,store_id
1,Jerrie,Bransom,jbransom0@wix.com,M,Single,62506,3
2,Rog,Bertholin,rbertholin1@cdc.gov,M,Married,10443,1
3,Tomkin,Heining,theining2@mozilla.com,F,Married,64955,3
4,Hortense,Jane,hjane3@xinhuanet.com,F,Married,64991,5
5,Celestia,Dilke,cdilke4@joomla.org,F,Divorced,50825,1
6,Janean,Labram,jlabram5@nature.com,F,Sinle,57568,2
7,Eleanor,Cubbini,ecubbini6@ftc.gov,F,Single,25660,3
8,Corbie,Alday,calday7@meetup.com,M,separate,59365,1
9,Nadia,McCumesky,nmccumesky8@taobao.com,F,Single,47837,4
10,Carole,Curtois,ccurtois9@businesswire.com,M,Divorced,50178,3
11,Walton,Inglis,winglisa@go.com,F,Married,54670,4
12,Gonzalo,Boler,gbolerb@omniture.com,M,Married,47211,1
13,Phillis,Martinovsky,pmartinovskyc@issuu.com,M,Divorce,92328,5
14,Blythe,Stoodale,bstoodaled@sphinn.com,M,Single,58709,2
15,Burnard,Antosch,bantosche@stumbleupon.com,M,Divorced,52505,2
16,Chadd,Stoke,cstokef@archive.org,M,Single,57834,3
17,Penrod,Mc Menamin,pmcmenaming@ucoz.ru,F,married,30131,3
18,Holden,Wason,hwasonh@tamu.edu,F,Single,59026,4
19,Birdie,Hendrickson,bhendricksoni@wordpress.org,F,Single,11000,5
20,Beckie,Dulinty,bdulintyj@nature.com,M,Single,51044,4
21,Tomlin,Lowes,tlowesk@nyu.edu,F,Divoced,64919,1
22,Trevor,Giveen,tgiveenl@ca.gov,F,maried,62910,1
23,Wallache,Earie,weariem@live.com,F,Single,66441,4
24,Hamid,Baggiani,hbaggianin@yandex.ru,F,Single,57815,4
25,Reece,Djekovic,rdjekovico@dmoz.org,M,Single,53613,1
26,Lotte,Trouel,ltrouelp@miibeian.gov.cn,F,Married,16367,4
27,Libbi,Sandyford,lsandyfordq@jigsy.com,M,Single,24312,1
28,Lissa,Vials,lvialsr@google.com.br,F,Married,53492,4
29,Ariel,Kapiloff,akapiloffs@theatlantic.com,F,Married,63000,4
30,Brice,Raysdale,braysdalet@infoseek.co.jp,F,Separated,64375,2
31,Linus,Eard,leardu@amazon.com,F,Married,74326,4
32,Tymon,Laurie,tlauriev@wikia.com,F,Single,63763,3
33,Cassi,Hodge,chodgew@weibo.com,M,Married,62162,4
34,Arie,Mushet,amushetx@loc.gov,M,Single,27692,2
35,Oswell,Coverdale,ocoverdaley@cornell.edu,M,Single,22640,5
36,Woodie,Trevenu,wtrevenuz@alexa.com,F,Single,93396,1
37,Berni,Girodin,bgirodin10@infoseek.co.jp,M,single,52846,3
38,Ivar,Covendon,icovendon11@google.com.hk,F,Single,10031,4
39,Emmott,Illingsworth,eillingsworth12@dagondesign.com,F,Single,31860,1
40,Flynn,Dotson,fdotson13@cafepress.com,F,Single,61656,4
41,Nicholas,Etienne,netienne14@imgur.com,M,Married,11929,5
42,Robby,Baverstock,rbaverstock15@upenn.edu,F,Single,54237,5
43,Siobhan,Mashro,smashro16@github.io,M,Single,66808,3
44,Goraud,Blindmann,gblindmann17@jimdo.com,F,Single,64786,1
45,Eugenio,Grastye,egrastye18@gizmodo.com,F,Single,64816,2
46,Homere,Pratty,hpratty19@cbc.ca,M,Single,68678,1
47,Robin,Ablett,rablett1a@businesswire.com,F,Married,64066,1
48,Olive,Burdekin,oburdekin1b@stanford.edu,M,Married,59369,4
49,Way,Dimont,wdimont1c@geocities.com,M,Married,50373,2
50,Howie,McNiff,hmcniff1d@yellowbook.com,M,Single,63108,4
51,Fabio,Chafney,fchafney1e@usda.gov,M,Single,59144,4
52,Jean,Insall,jinsall1f@desdev.cn,M,Divorced,68051,1
